timestamp,equipmentId,equipmentType,dealerId,siteId,operatorId,engineStatus,fuelLevel,engineHours,idleHours,speed,latitude,longitude,engineTemperature,hydraulicPressure,batteryVoltage,loadPercentage,vibrationLevel,rentalStatus
2026-07-30T12:00:00,1,Excavator,1,1,1,ON,85.5,1200.5,150.2,12.0,37.7749,-122.4194,85.0,150.0,13.8,65.0,2.5,Working
2026-07-30T12:01:00,1,Excavator,1,1,1,ON,84.2,1200.7,150.2,10.5,37.7751,-122.4196,88.5,155.2,13.6,72.0,2.8,Working
2026-07-30T12:02:00,1,Excavator,1,1,1,ON,83.0,1200.9,150.2,5.0,37.7753,-122.4198,112.0,165.8,13.5,88.0,3.2,Working
2026-07-30T12:03:00,1,Excavator,1,1,1,ON,81.1,1201.1,150.3,0.0,37.7753,-122.4198,115.5,170.0,13.4,95.0,4.8,Working
2026-07-30T12:04:00,2,Crane,1,2,2,ON,92.0,500.2,40.1,2.0,34.0522,-118.2437,75.0,120.0,14.0,30.0,1.2,Working
2026-07-30T12:05:00,2,Crane,1,2,2,ON,91.8,500.3,40.1,0.0,34.0522,-118.2437,76.2,118.5,13.9,25.0,1.1,Working
2026-07-30T12:06:00,2,Crane,1,2,2,OFF,91.8,500.3,40.1,0.0,34.0522,-118.2437,35.0,0.0,12.2,0.0,0.1,Working
2026-07-30T12:07:00,3,Bulldozer,1,3,3,ON,65.0,2400.1,320.5,8.0,40.7128,-74.0060,95.0,180.0,13.5,80.0,5.5,Working
2026-07-30T12:08:00,3,Bulldozer,1,3,3,ON,63.5,2400.2,320.6,0.0,40.7128,-74.0060,92.0,140.0,13.3,15.0,1.5,Working
2026-07-30T12:09:00,3,Bulldozer,1,3,3,ON,20.0,2400.3,322.1,0.0,40.7128,-74.0060,82.0,135.0,13.2,10.0,1.3,Working
