equipmentId,type,engineHoursPerDay,idleHoursPerDay,rentalDays,hasOperator,hasSite,idleRatio,isAnomaly,anomalyReason
CAT-EX-1001,Excavator,21.52,3.76,25,1,1,0.1487,0,
CAT-BD-1002,Bulldozer,18.72,3.54,25,1,1,0.1591,0,
CAT-WL-1004,Wheel Loader,22.32,3.51,25,1,1,0.1358,0,
CAT-BL-1005,Backhoe Loader,20.72,3.45,25,1,1,0.1427,0,
CAT-SL-1006,Skid Steer Loader,27.52,2.97,25,1,1,0.0973,0,
CAT-CR-1007,Crane,19.92,2.83,25,1,1,0.1245,0,
CAT-AP-1008,Asphalt Paver,21.12,3.51,25,1,1,0.1424,0,
CAT-CO-1009,Compactor,20.32,3.66,25,1,1,0.1527,0,
CAT-DT-1010,Dump Truck,21.52,2.85,25,1,1,0.1168,0,
CAT-EX-1011,Excavator,21.12,2.83,25,1,1,0.1183,0,
CAT-BD-1012,Bulldozer,19.52,3.04,25,1,1,0.1346,0,
CAT-MG-1013,Motor Grader,26.32,2.47,25,1,1,0.0858,0,
CAT-WL-1014,Wheel Loader,21.12,3.56,25,1,1,0.1441,0,
CAT-SL-1016,Skid Steer Loader,19.92,3.17,25,1,1,0.1371,0,
CAT-CR-1017,Crane,18.32,3.94,25,1,1,0.1771,0,
CAT-AP-1018,Asphalt Paver,18.72,3.3,25,1,1,0.15,0,
CAT-DT-1020,Dump Truck,21.12,3.08,25,1,1,0.1274,0,
CAT-BD-1022,Bulldozer,22.32,3.15,25,1,1,0.1238,0,
CAT-MG-1023,Motor Grader,27.92,2.86,25,1,1,0.093,0,
CAT-WL-1024,Wheel Loader,20.32,3.17,25,1,1,0.1349,0,
CAT-SL-1026,Skid Steer Loader,18.72,3.16,25,1,1,0.1444,0,
CAT-CR-1027,Crane,17.12,3.45,25,1,1,0.1678,0,
CAT-AP-1028,Asphalt Paver,22.32,2.66,25,1,1,0.1064,0,
CAT-CO-1029,Compactor,15.92,2.83,25,1,1,0.1508,0,
CAT-DT-1030,Dump Truck,20.72,2.88,25,1,1,0.1221,0,
CAT-EX-1031,Excavator,23.12,2.62,25,1,1,0.1016,0,
CAT-BD-1032,Bulldozer,21.92,3.02,25,1,1,0.121,0,
CAT-BL-1035,Backhoe Loader,19.92,2.54,25,1,1,0.1132,0,
CAT-SL-1036,Skid Steer Loader,26.72,3.58,25,1,1,0.1182,0,
CAT-CR-1037,Crane,21.12,2.62,25,1,1,0.1104,0,
CAT-AP-1038,Asphalt Paver,22.32,3.38,25,1,1,0.1315,0,
CAT-CO-1039,Compactor,21.52,3.45,25,1,1,0.1383,0,
CAT-EX-1041,Excavator,20.72,3.47,25,1,1,0.1434,0,
CAT-MG-1043,Motor Grader,21.12,3.2,25,1,1,0.1316,0,
CAT-SL-1046,Skid Steer Loader,19.12,3.97,25,1,1,0.1721,0,
CAT-CR-1047,Crane,18.32,3.09,25,1,1,0.1442,0,
CAT-CO-1049,Compactor,20.32,2.93,25,1,1,0.1259,0,
